specification,record,subject_id,lead,tau_s,baseline_cv_r2
stb_fixed_120s,s20571,s2057,0,120.0,
stb_fixed_120s,s20581,s2058,0,120.0,
stb_fixed_120s,s20581,s2058,1,120.0,
stb_fixed_120s,s20591,s2059,0,120.0,
stb_fixed_120s,s20591,s2059,1,120.0,
stb_fixed_120s,s20601,s2060,1,120.0,
stb_fixed_120s,s20611,s2061,1,120.0,
stb_fixed_120s,s20621,s2062,0,120.0,
stb_fixed_120s,s20621,s2062,1,120.0,
stb_fixed_120s,s20631,s2063,0,120.0,
stb_fixed_120s,s20641,s2064,0,120.0,
stb_fixed_120s,s20641,s2064,1,120.0,
stb_fixed_120s,s20651,s2065,0,120.0,
stb_fixed_120s,s30661,s3066,0,120.0,
stb_fixed_120s,s30661,s3066,1,120.0,
stb_fixed_120s,s30661,s3066,2,120.0,
stb_fixed_120s,s30671,s3067,0,120.0,
stb_fixed_120s,s30671,s3067,1,120.0,
stb_fixed_120s,s30681,s3068,0,120.0,
stb_fixed_120s,s30681,s3068,1,120.0,
stb_fixed_120s,s30681,s3068,2,120.0,
stb_fixed_120s,s30691,s3069,1,120.0,
stb_fixed_120s,s30691,s3069,2,120.0,
stb_fixed_120s,s30701,s3070,1,120.0,
stb_fixed_120s,s30701,s3070,2,120.0,
stb_fixed_120s,s30711,s3071,0,120.0,
stb_fixed_120s,s30711,s3071,1,120.0,
stb_fixed_120s,s30711,s3071,2,120.0,
stb_fixed_120s,s30721,s3072,0,120.0,
stb_fixed_120s,s30721,s3072,1,120.0,
stb_fixed_120s,s30731,s3073,1,120.0,
stb_fixed_120s,s30731,s3073,2,120.0,
stb_fixed_120s,s30732,s3073,1,120.0,
stb_fixed_120s,s30732,s3073,2,120.0,
stb_fixed_120s,s30741,s3074,0,120.0,
stb_fixed_120s,s30741,s3074,1,120.0,
stb_fixed_120s,s30741,s3074,2,120.0,
stb_fixed_120s,s30742,s3074,0,120.0,
stb_fixed_120s,s30742,s3074,1,120.0,
stb_fixed_120s,s30742,s3074,2,120.0,
stb_fixed_120s,s30751,s3075,0,120.0,
stb_fixed_120s,s30751,s3075,1,120.0,
